;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43
0;0;0.940721615;80;0.933999789;0.946281468;0.939706638;0.933116316;0.943693211;0.937268524;0.941214819;0.944106;0.935875541;0.940560257;0.938180824;0.942944927;0.943740041;0.930619886;0.944849851;0.942177376;0.936619819;0.943877073;0.936583862;0.941382443;0.006189437;0.020813987;0.024169441;0.015908774;0.013776738;0.017889574;0.031589394;0.01751442;0.008786886;0.011820414;0.022610479;0.022473854;0.01425833;0.008640852;0.017368973;0.015611235;0.021094243;0.018520476;0.005940611;0.014604857;42.44482173
1;0;0.940723573;80;0.937101269;0.94538432;0.936478226;0.940678914;0.938006166;0.9456651;0.942445269;0.936562643;0.945187034;0.93506066;0.937578351;0.94052528;0.942811643;0.943988143;0.935063391;0.944978823;0.939470254;0.942746986;0.94455816;0.941929991;0.028377747;0.003394039;0.012002969;0.024066194;0.019090815;0.013969165;0.005990269;0.008024447;0.013982401;0.010448639;0.022813863;0.018474074;0.019432829;0.003784903;0.019541569;0.032824026;0.024117752;0.01992836;0.016294445;0.024506269;44.80286738
2;0;0.940725531;80;0.946651905;0.942619625;0.929622425;0.944729561;0.937625803;0.938974214;0.945757142;0.936969297;0.939713231;0.935552958;0.945527864;0.9457261;0.935473133;0.944315847;0.938913097;0.940535328;0.944849103;0.940002128;0.940743358;0.932574764;0.016726081;0.026017857;0.021815177;0.010192413;0.01062715;0.018529255;0.017483297;0.00816658;0.021878715;0.018517561;0.021647768;0.005381827;0.017775589;0.028808796;0.020988289;0.008722197;0.021173966;0.020638688;0.020045184;0.011804977;43.59197908
3;0;0.94072749;80;0.937766663;0.945102879;0.937434294;0.945544606;0.9351488;0.943034138;0.94298715;0.935476829;0.944086306;0.935535879;0.939821706;0.936629276;0.9448768;0.939311447;0.940505524;0.944452044;0.937610944;0.943437638;0.929080094;0.944472632;0.012637326;0.016562014;0.019670183;0.020157635;0.014277531;0.009938452;0.019722676;0.024540205;0.02089332;0.009710304;0.008609501;0.016107812;0.011866008;0.008087015;0.012271527;0.021353799;0.016024792;0.012729463;0.014369503;0.021656773;46.08294931
4;0;0.940729448;80;0.943327843;0.938640089;0.937845356;0.941980942;0.940367378;0.939079647;0.933207261;0.945430317;0.943152958;0.934747369;0.943867186;0.938284669;0.939540844;0.942717633;0.941625669;0.941451317;0.9299574;0.94582015;0.944095547;0.937625239;0.017869272;0.005982445;0.017743642;0.017696507;0.01264884;0.007921876;0.010519037;0.024537955;0.014170921;0.013240245;0.013179013;0.013261958;0.01847674;0.016264996;0.012369807;0.01461811;0.013531034;0.023112443;0.015575947;0.017232371;43.59197908
5;0;0.940731406;80;0.944250703;0.93636864;0.939671997;0.936196249;0.944180914;0.942997486;0.935425123;0.94545922;0.937515694;0.939384609;0.93872154;0.942039783;0.943725614;0.934424666;0.943151737;0.93924736;0.942377549;0.94378334;0.94353058;0.943844814;0.018885565;0.010735253;0.008964031;0.013425397;0.014272328;0.013258784;0.01059733;0.024900769;0.014395202;0.019155977;0.015258539;0.024940831;0.012660163;0.012556568;0.030011693;0.024117299;0.026115562;0.010976719;0.018263078;0.028711261;44.80286738
6;0;0.940733365;80;0.945281956;0.940116497;0.93943908;0.94198952;0.943721477;0.942928057;0.932480317;0.9452872;0.936792111;0.939778083;0.943709594;0.940363111;0.941214603;0.930206483;0.942229857;0.942051977;0.939201611;0.943188349;0.94003322;0.941306626;0.021868447;0.018901616;0.02529663;0.008977898;0.009204067;0.016609852;0.017123181;0.017631158;0.009084092;0.018040006;0.026375338;0.022095449;0.016989434;0.005853157;0.028146089;0.019122647;0.028801046;0.018637861;0.010348897;0.016719538;44.80286738
7;0;0.940735323;80;0.936717566;0.941942485;0.933444497;0.943612721;0.943583356;0.938304091;0.942623179;0.938640865;0.940889332;0.9330628;0.945440053;0.940486812;0.939743618;0.946779568;0.938270747;0.941754306;0.931729797;0.944191824;0.938698697;0.941764318;0.014317522;0.012747728;0.01060256;0.026862297;0.008030798;0.018765552;0.012984724;0.008757784;0.014170929;0.020366458;0.02485938;0.01240981;0.017821704;0.018391989;0.015337785;0.014034037;0.014965016;0.021009074;0.014786032;0.017919041;46.08294931
8;0;0.940737281;80;0.938788103;0.944803126;0.941764218;0.943332897;0.929656994;0.944696647;0.937940794;0.940617253;0.943555794;0.942773944;0.945393015;0.934290871;0.942864285;0.937455518;0.938088024;0.937510494;0.942857015;0.944099291;0.938086088;0.945888194;0.021783874;0.008054038;0.006199671;0.01702834;0.009964307;0.017459361;0.015110715;0.022722284;0.010853681;0.007457888;0.02111143;0.024528994;0.025810228;0.007834673;0.016185485;0.019054121;0.024314475;0.012780678;0.017397719;0.027619767;46.08294931
9;0;0.94073924;80;0.937580903;0.939547375;0.933279622;0.944722889;0.942659883;0.93845395;0.944781817;0.935930692;0.940456481;0.944355883;0.942881156;0.941543769;0.93168195;0.945956475;0.940635456;0.938556669;0.944515047;0.934466814;0.938459197;0.940417414;0.010846988;0.012214966;0.020924856;0.030459322;0.018745925;0.013450994;0.020363776;0.01966116;0.022887661;0.00809964;0.013600227;0.01872182;0.020064324;0.010806259;0.005494377;0.015099637;0.015481857;0.007983973;0.015929232;0.021257383;43.59197908
