waveform;Bridge;FTC1;FTC2;Bridge (Filtered);Resistance_0;Resistance_1
t0;29/11/2021  15:47:56,074456;29/11/2021  15:47:56,074456;29/11/2021  15:47:56,074456;29/11/2021  15:47:56,074456;29/11/2021  15:47:57,367517;29/11/2021  15:47:57,367517
delta t;0,000100;0,000100;0,000100;0,000100;0,512821;0,512821

time;Bridge;FTC1;FTC2;Bridge (Filtered);Resistance_0;Resistance_1
29/11/2021  15:47:56,074456;9,397399E-1;1,044459E+1;1,739675E-1;2,739012E-5;1,075667E+2;1,079306E+2
29/11/2021  15:47:56,074556;9,398144E-1;1,044459E+1;1,708081E-1;1,882917E-4;;
29/11/2021  15:47:56,074656;9,393316E-1;1,044459E+1;1,783905E-1;6,574425E-4;;
29/11/2021  15:47:56,074756;9,392809E-1;1,044459E+1;7,634447E-2;1,613935E-3;;
29/11/2021  15:47:56,074856;9,395939E-1;1,044459E+1;6,370719E-2;3,211893E-3;;
29/11/2021  15:47:56,074956;9,392660E-1;1,044459E+1;8,740209E-2;5,582177E-3;;
29/11/2021  15:47:56,075056;9,393674E-1;1,044459E+1;2,389975E-2;8,834002E-3;;
29/11/2021  15:47:56,075156;9,397399E-1;1,044459E+1;2,453162E-2;1,305649E-2;;
29/11/2021  15:47:56,075256;9,399634E-1;1,044459E+1;4,253974E-2;1,832019E-2;;
29/11/2021  15:47:56,075356;9,394389E-1;1,044459E+1;8,329497E-2;2,467854E-2;;
29/11/2021  15:47:56,075456;9,394806E-1;1,044459E+1;2,532664E-1;3,216917E-2;;
29/11/2021  15:47:56,075556;9,398532E-1;1,044459E+1;2,668515E-1;4,081523E-2;;
29/11/2021  15:47:56,075656;9,395730E-1;1,044459E+1;3,028677E-1;5,062669E-2;;
29/11/2021  15:47:56,075756;9,390485E-1;1,044459E+1;2,835959E-1;6,160153E-2;;
29/11/2021  15:47:56,075856;9,391409E-1;1,044459E+1;1,578549E-1;7,372688E-2;;
29/11/2021  15:47:56,075956;9,394419E-1;1,044459E+1;4,506720E-2;8,698010E-2;;
29/11/2021  15:47:56,076056;9,394657E-1;1,044459E+1;3,306178E-2;1,013299E-1;;
29/11/2021  15:47:56,076156;9,395253E-1;1,044459E+1;8,076751E-2;1,167375E-1;;
29/11/2021  15:47:56,076256;9,393495E-1;1,044459E+1;7,002583E-2;1,331571E-1;;
29/11/2021  15:47:56,076356;9,399247E-1;1,044459E+1;5,517702E-2;1,505374E-1;;
29/11/2021  15:47:56,076456;9,393823E-1;1,044459E+1;8,735019E-3;1,688220E-1;;
29/11/2021  15:47:56,076556;9,391617E-1;1,044459E+1;3,085026E-2;1,879502E-1;;
29/11/2021  15:47:56,076656;9,399485E-1;1,044459E+1;4,475127E-2;2,078579E-1;;
29/11/2021  15:47:56,076756;9,389591E-1;1,044459E+1;8,803395E-2;2,284784E-1;;
29/11/2021  15:47:56,076856;9,392332E-1;1,044459E+1;2,100447E-3;2,497424E-1;;
29/11/2021  15:47:56,076956;9,392064E-1;1,044459E+1;1,152651E-3;2,715797E-1;;
29/11/2021  15:47:56,077056;9,392571E-1;1,044459E+1;7,155359E-3;2,939185E-1;;
29/11/2021  15:47:56,077156;9,398025E-1;1,044459E+1;1,568552E-2;3,166870E-1;;
29/11/2021  15:47:56,077256;9,393912E-1;1,044459E+1;1,726518E-2;3,398135E-1;;
29/11/2021  15:47:56,077356;9,397250E-1;1,044459E+1;1,758111E-2;3,632265E-1;;
29/11/2021  15:47:56,077456;9,392541E-1;1,044459E+1;1,726518E-2;3,868557E-1;;
29/11/2021  15:47:56,077556;9,390872E-1;1,044459E+1;1,789705E-2;4,106318E-1;;
29/11/2021  15:47:56,077656;9,394478E-1;1,044459E+1;1,852891E-2;4,344870E-1;;
29/11/2021  15:47:56,077756;9,391915E-1;1,044459E+1;1,947671E-2;4,583555E-1;;
29/11/2021  15:47:56,077856;9,399426E-1;1,044459E+1;2,137230E-2;4,821736E-1;;
29/11/2021  15:47:56,077956;9,395343E-1;1,044459E+1;1,884484E-2;5,058799E-1;;
29/11/2021  15:47:56,078056;9,395849E-1;1,044459E+1;1,947671E-2;5,294156E-1;;
29/11/2021  15:47:56,078156;9,392929E-1;1,044459E+1;2,042450E-2;5,527247E-1;;
