waveform	Bridge	FTC1	FTC2	Bridge (Filtered)	Resistance_0	Resistance_1
t0	29/11/2021  15:32:51,031077	29/11/2021  15:32:51,031077	29/11/2021  15:32:51,031077	29/11/2021  15:32:51,031077	29/11/2021  15:32:51,569533	29/11/2021  15:32:51,569533
delta t	0,000100	0,000100	0,000100	0,000100	0,010000	0,010000

time	Bridge	FTC1	FTC2	Bridge (Filtered)	Resistance_0	Resistance_1
29/11/2021  15:32:51,035077	9,401989E-1	1,044459E+1	1,884484E-2	6,212544E-1	1,075964E+2	1,079485E+2
29/11/2021  15:32:51,035177	9,403062E-1	1,044459E+1	1,189434E-2	6,431723E-1	1,075964E+2	1,079485E+2
29/11/2021  15:32:51,035277	9,401303E-1	1,044459E+1	2,105637E-2	6,646275E-1	1,075964E+2	1,079485E+2
29/11/2021  15:32:51,035377	9,402287E-1	1,044459E+1	2,611128E-2	6,855820E-1	1,075964E+2	1,079485E+2
29/11/2021  15:32:51,035477	9,399753E-1	1,044459E+1	2,990246E-2	7,060014E-1	1,075964E+2	1,079485E+2
29/11/2021  15:32:51,035577	9,403717E-1	1,044459E+1	2,990246E-2	7,258544E-1	1,075964E+2	1,079485E+2
29/11/2021  15:32:51,035677	9,403062E-1	1,044459E+1	3,148212E-2	7,451128E-1	1,075964E+2	1,079485E+2
29/11/2021  15:32:51,035777	9,406042E-1	1,044459E+1	3,085026E-2	7,637518E-1	1,075964E+2	1,079485E+2
29/11/2021  15:32:51,035877	9,405952E-1	1,044459E+1	1,534319E-1	7,817495E-1	1,075964E+2	1,079485E+2
29/11/2021  15:32:51,035977	9,400528E-1	1,044459E+1	3,085026E-2	7,990873E-1	1,075964E+2	1,079485E+2
29/11/2021  15:32:51,036077	9,402764E-1	1,044459E+1	3,432551E-2	8,157495E-1	1,075979E+2	1,079494E+2
29/11/2021  15:32:51,036177	9,407353E-1	1,044459E+1	1,663851E-1	8,317232E-1	1,075979E+2	1,079494E+2
29/11/2021  15:32:51,036277	9,403121E-1	1,044459E+1	1,167838E-1	8,469983E-1	1,075979E+2	1,079494E+2
29/11/2021  15:32:51,036377	9,401959E-1	1,044459E+1	1,028828E-1	8,615678E-1	1,075979E+2	1,079494E+2
29/11/2021  15:32:51,036477	9,401065E-1	1,044459E+1	1,325804E-1	8,754267E-1	1,075979E+2	1,079494E+2
29/11/2021  15:32:51,036577	9,401959E-1	1,044459E+1	1,221546E-1	8,885730E-1	1,075979E+2	1,079494E+2
29/11/2021  15:32:51,036677	9,401422E-1	1,044459E+1	1,057261E-1	9,010069E-1	1,075979E+2	1,079494E+2
29/11/2021  15:32:51,036777	9,407830E-1	1,044459E+1	1,502726E-1	9,127308E-1	1,075979E+2	1,079494E+2
29/11/2021  15:32:51,036877	9,402167E-1	1,044459E+1	3,240352E-1	9,237493E-1	1,075979E+2	1,079494E+2
29/11/2021  15:32:51,036977	9,395372E-1	1,044459E+1	3,237192E-1	9,340693E-1	1,075979E+2	1,079494E+2
29/11/2021  15:32:51,037077	9,404194E-1	1,044459E+1	2,466318E-1	9,436992E-1	1,075957E+2	1,079480E+2
29/11/2021  15:32:51,037177	9,402793E-1	1,044459E+1	2,305193E-1	9,526494E-1	1,075957E+2	1,079480E+2
29/11/2021  15:32:51,037277	9,400439E-1	1,044459E+1	2,330467E-1	9,609319E-1	1,075957E+2	1,079480E+2
29/11/2021  15:32:51,037377	9,406191E-1	1,044459E+1	2,643240E-1	9,685602E-1	1,075957E+2	1,079480E+2
29/11/2021  15:32:51,037477	9,408307E-1	1,044459E+1	1,682807E-1	9,755493E-1	1,075957E+2	1,079480E+2
29/11/2021  15:32:51,037577	9,401393E-1	1,044459E+1	2,737501E-2	9,819156E-1	1,075957E+2	1,079480E+2
29/11/2021  15:32:51,037677	9,398949E-1	1,044459E+1	2,460000E-1	9,876763E-1	1,075957E+2	1,079480E+2
29/11/2021  15:32:51,037777	9,404075E-1	1,044459E+1	1,654373E-1	9,928499E-1	1,075957E+2	1,079480E+2
29/11/2021  15:32:51,037877	9,404313E-1	1,044459E+1	1,603824E-1	9,974557E-1	1,075957E+2	1,079480E+2
29/11/2021  15:32:51,037977	9,401184E-1	1,044459E+1	1,622780E-1	1,001514E+0	1,075957E+2	1,079480E+2
29/11/2021  15:32:51,038077	9,404164E-1	1,044459E+1	1,189953E-1	1,005045E+0	1,075971E+2	1,079489E+2
29/11/2021  15:32:51,038177	9,400886E-1	1,044459E+1	1,370034E-1	1,008070E+0	1,075971E+2	1,079489E+2
29/11/2021  15:32:51,038277	9,400975E-1	1,044459E+1	8,961361E-2	1,010612E+0	1,075971E+2	1,079489E+2
29/11/2021  15:32:51,038377	9,399008E-1	1,044459E+1	1,313166E-1	1,012692E+0	1,075971E+2	1,079489E+2
29/11/2021  15:32:51,038477	9,404522E-1	1,044459E+1	7,729226E-2	1,014333E+0	1,075971E+2	1,079489E+2
29/11/2021  15:32:51,038577	9,403807E-1	1,044459E+1	3,053433E-2	1,015557E+0	1,075971E+2	1,079489E+2
29/11/2021  15:32:51,038677	9,406459E-1	1,044459E+1	3,780076E-2	1,016387E+0	1,075971E+2	1,079489E+2
29/11/2021  15:32:51,038777	9,401929E-1	1,044459E+1	1,631739E-2	1,016846E+0	1,075971E+2	1,079489E+2
29/11/2021  15:32:51,038877	9,403628E-1	1,044459E+1	8,645429E-2	1,016956E+0	1,075971E+2	1,079489E+2
29/11/2021  15:32:51,038977	9,399783E-1	1,044459E+1	4,506720E-2	1,016741E+0	1,075971E+2	1,079489E+2
29/11/2021  15:32:51,039077	9,406042E-1	1,044459E+1	7,413294E-2	1,016221E+0	1,075976E+2	1,079489E+2
29/11/2021  15:32:51,039177	9,401482E-1	1,044459E+1	8,329497E-2	1,015420E+0	1,075976E+2	1,079489E+2
29/11/2021  15:32:51,039277	9,404254E-1	1,044459E+1	7,476481E-2	1,014359E+0	1,075976E+2	1,079489E+2
29/11/2021  15:32:51,039377	9,404224E-1	1,044459E+1	8,139938E-2	1,013059E+0	1,075976E+2	1,079489E+2
29/11/2021  15:32:51,039477	9,398889E-1	1,044459E+1	8,645429E-2	1,011540E+0	1,075976E+2	1,079489E+2
29/11/2021  15:32:51,039577	9,403598E-1	1,044459E+1	8,929768E-2	1,009824E+0	1,075976E+2	1,079489E+2
29/11/2021  15:32:51,039677	9,402644E-1	1,044459E+1	1,268936E-1	1,007929E+0	1,075976E+2	1,079489E+2
29/11/2021  15:32:51,039777	9,401542E-1	1,044459E+1	5,644075E-2	1,005875E+0	1,075976E+2	1,079489E+2
29/11/2021  15:32:51,039877	9,397250E-1	1,044459E+1	6,528685E-2	1,003680E+0	1,075976E+2	1,079489E+2
29/11/2021  15:32:51,039977	9,405118E-1	1,044459E+1	1,938712E-1	1,001363E+0	1,075976E+2	1,079489E+2
29/11/2021  15:32:51,040077	9,396803E-1	1,044459E+1	1,843932E-1	9,989394E-1	1,075986E+2	1,079483E+2
29/11/2021  15:32:51,040177	9,404909E-1	1,044459E+1	1,265777E-1	9,964268E-1	1,075986E+2	1,079483E+2
