waveform	Bridge	T_amb	T_cell
t0	29/11/2021  14:02:54,327063	29/11/2021  14:02:54,327063	29/11/2021  14:02:54,327063
delta t	0,000500	0,000500	0,000500

time	Bridge	T_amb	T_cell
29/11/2021  14:02:54,360563	9,396803E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,361063	9,394419E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,361563	9,390991E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,362063	9,392899E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,362563	9,398621E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,363063	9,393405E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,363563	9,394687E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,364063	9,400260E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,364563	9,384047E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,365063	9,391438E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,365563	9,391230E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,366063	9,387713E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,366563	9,374749E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,367063	9,385776E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,367563	9,394657E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,368063	9,391230E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,368563	9,393972E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,369063	9,389740E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,369563	9,390336E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,370063	9,389918E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,370563	9,393972E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,371063	9,398353E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,371563	9,396714E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,372063	9,394150E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,372563	9,387236E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,373063	9,395432E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,373563	9,401333E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,374063	9,395164E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,374563	9,395760E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,375063	9,399366E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,375563	9,396177E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,376063	9,399962E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,376563	9,398114E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,377063	9,402555E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,377563	9,394925E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,378063	9,398383E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,378563	9,400230E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,379063	9,401482E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,379563	9,396386E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,380063	9,400499E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,380563	9,403002E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,381063	9,403091E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,381563	9,394180E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,382063	9,394538E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,382563	9,400856E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,383063	9,405178E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,383563	9,399008E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,384063	9,403479E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,384563	9,402316E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,385063	9,389620E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,385563	9,394866E-4	1,072884E-4	1,144409E-4
29/11/2021  14:02:54,386063	9,397518E-4	1,072884E-4	1,144409E-4
