waveform;Bridge
t0;18/11/2021  11:23:29,734954
delta t;0,000500

time;Bridge
18/11/2021  11:23:29,734954;1,211594E-3
18/11/2021  11:23:29,735454;1,210944E-3
18/11/2021  11:23:29,735954;1,212336E-3
18/11/2021  11:23:29,736454;1,211984E-3
18/11/2021  11:23:29,736954;1,210986E-3
18/11/2021  11:23:29,737454;1,212145E-3
18/11/2021  11:23:29,737954;1,210560E-3
18/11/2021  11:23:29,738454;1,210828E-3
18/11/2021  11:23:29,738954;1,210891E-3
18/11/2021  11:23:29,739454;1,210962E-3
18/11/2021  11:23:29,739954;1,211010E-3
18/11/2021  11:23:29,740454;1,211341E-3
18/11/2021  11:23:29,740954;1,211496E-3
18/11/2021  11:23:29,741454;1,211096E-3
18/11/2021  11:23:29,741954;1,210905E-3
18/11/2021  11:23:29,742454;1,211555E-3
18/11/2021  11:23:29,742954;1,211472E-3
18/11/2021  11:23:29,743454;1,210855E-3
18/11/2021  11:23:29,743954;1,211972E-3
18/11/2021  11:23:29,744454;1,211057E-3
18/11/2021  11:23:29,744954;1,211364E-3
18/11/2021  11:23:29,745454;1,211478E-3
18/11/2021  11:23:29,745954;1,211674E-3
18/11/2021  11:23:29,746454;1,211001E-3
18/11/2021  11:23:29,746954;1,210962E-3
18/11/2021  11:23:29,747454;1,210813E-3
18/11/2021  11:23:29,747954;1,212041E-3
18/11/2021  11:23:29,748454;1,212303E-3
18/11/2021  11:23:29,748954;1,212437E-3
18/11/2021  11:23:29,749454;1,210885E-3
18/11/2021  11:23:29,749954;1,210834E-3
18/11/2021  11:23:29,750454;1,211817E-3
18/11/2021  11:23:29,750954;1,211743E-3
18/11/2021  11:23:29,751454;1,211171E-3
18/11/2021  11:23:29,751954;1,210950E-3
18/11/2021  11:23:29,752454;1,211659E-3
18/11/2021  11:23:29,752954;1,211054E-3
18/11/2021  11:23:29,753454;1,211141E-3
18/11/2021  11:23:29,753954;1,211680E-3
18/11/2021  11:23:29,754454;1,211245E-3
18/11/2021  11:23:29,754954;1,211192E-3
18/11/2021  11:23:29,755454;1,211761E-3
18/11/2021  11:23:29,755954;1,211001E-3
18/11/2021  11:23:29,756454;1,211403E-3
18/11/2021  11:23:29,756954;1,211758E-3
18/11/2021  11:23:29,757454;1,211391E-3
18/11/2021  11:23:29,757954;1,210986E-3
18/11/2021  11:23:29,758454;1,211302E-3
18/11/2021  11:23:29,758954;1,211311E-3
18/11/2021  11:23:29,759454;1,209785E-3
18/11/2021  11:23:29,759954;1,210974E-3
18/11/2021  11:23:29,760454;1,210527E-3
18/11/2021  11:23:29,760954;1,211290E-3
18/11/2021  11:23:29,761454;1,210774E-3
18/11/2021  11:23:29,761954;1,210873E-3
18/11/2021  11:23:29,762454;1,211308E-3
18/11/2021  11:23:29,762954;1,211645E-3
18/11/2021  11:23:29,763454;1,211311E-3
18/11/2021  11:23:29,763954;1,211376E-3
18/11/2021  11:23:29,764454;1,211269E-3
18/11/2021  11:23:29,764954;1,211934E-3
18/11/2021  11:23:29,765454;1,210122E-3
18/11/2021  11:23:29,765954;1,211022E-3
18/11/2021  11:23:29,766454;1,211162E-3
18/11/2021  11:23:29,766954;1,211621E-3
18/11/2021  11:23:29,767454;1,211189E-3
18/11/2021  11:23:29,767954;1,211108E-3
18/11/2021  11:23:29,768454;1,211117E-3
18/11/2021  11:23:29,768954;1,210569E-3
18/11/2021  11:23:29,769454;1,210724E-3
18/11/2021  11:23:29,769954;1,211454E-3
18/11/2021  11:23:29,770454;1,210327E-3
18/11/2021  11:23:29,770954;1,211242E-3
18/11/2021  11:23:29,771454;1,212336E-3
18/11/2021  11:23:29,771954;1,211245E-3
18/11/2021  11:23:29,772454;1,211475E-3
18/11/2021  11:23:29,772954;1,210920E-3
18/11/2021  11:23:29,773454;1,210604E-3
18/11/2021  11:23:29,773954;1,211651E-3
18/11/2021  11:23:29,774454;1,211314E-3
18/11/2021  11:23:29,774954;1,210509E-3
18/11/2021  11:23:29,775454;1,211510E-3
18/11/2021  11:23:29,775954;1,211680E-3
18/11/2021  11:23:29,776454;1,211683E-3
18/11/2021  11:23:29,776954;1,211609E-3
18/11/2021  11:23:29,777454;1,213579E-3
18/11/2021  11:23:29,777954;1,211361E-3
18/11/2021  11:23:29,778454;1,210923E-3
18/11/2021  11:23:29,778954;1,211260E-3
18/11/2021  11:23:29,779454;1,211439E-3
18/11/2021  11:23:29,779954;1,211388E-3
18/11/2021  11:23:29,780454;1,211668E-3
18/11/2021  11:23:29,780954;1,211630E-3
18/11/2021  11:23:29,781454;1,211156E-3
18/11/2021  11:23:29,781954;1,211421E-3
18/11/2021  11:23:29,782454;1,211922E-3
18/11/2021  11:23:29,782954;1,211627E-3
18/11/2021  11:23:29,783454;1,210128E-3
18/11/2021  11:23:29,783954;1,210703E-3
18/11/2021  11:23:29,784454;1,211260E-3
18/11/2021  11:23:29,784954;1,210885E-3
18/11/2021  11:23:29,785454;1,211138E-3
18/11/2021  11:23:29,785954;1,210420E-3
18/11/2021  11:23:29,786454;1,210759E-3
18/11/2021  11:23:29,786954;1,211254E-3
18/11/2021  11:23:29,787454;1,210238E-3
18/11/2021  11:23:29,787954;1,209225E-3
