waveform;Bridge;T_env;T_cell
t0;20/12/2021  12:31:16,249694;20/12/2021  12:31:16,753741;20/12/2021  12:31:16,753741
delta t;0,000500;0,005000;0,005000

time;Bridge;T_env;T_cell
20/12/2021  12:31:16,249694;9,478106E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,250194;9,477360E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,250694;9,490623E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,251194;9,480013E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,251694;9,488209E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,252194;9,482069E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,252694;9,482278E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,253194;9,475215E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,253694;9,488090E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,254194;9,489639E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,254694;9,485825E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,255194;9,482934E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,255694;9,483112E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,256194;9,481741E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,256694;9,483291E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,257194;9,485497E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,257694;9,486182E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,258194;9,481563E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,258694;9,493842E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,259194;9,489937E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,259694;9,482695E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,260194;9,482755E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,260694;9,483589E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,261194;9,484245E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,261694;9,489580E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,262194;9,485944E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,262694;9,484454E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,263194;9,485348E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,263694;9,480281E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,264194;9,484275E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,264694;9,478106E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,265194;9,491755E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,265694;9,478910E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,266194;9,490176E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,266694;9,489103E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,267194;9,492977E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,267694;9,480937E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,268194;9,484722E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,268694;9,488835E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,269194;9,485616E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,269694;9,483679E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,270194;9,487285E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,270694;9,487732E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,271194;9,489818E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,271694;9,490951E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,272194;9,476884E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,272694;9,487166E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,273194;9,484632E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,273694;9,486719E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,274194;9,486272E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,274694;9,484930E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,275194;9,477182E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,275694;9,484126E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,276194;9,475215E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,276694;9,479059E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,277194;9,481503E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,277694;9,477271E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,278194;9,482993E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,278694;9,479834E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,279194;9,492292E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,279694;9,481980E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,280194;9,477867E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,280694;9,484901E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,281194;9,482904E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,281694;9,478255E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,282194;9,486450E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,282694;9,483858E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,283194;9,489282E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,283694;9,483053E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,284194;9,481026E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,284694;9,490593E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,285194;9,492828E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,285694;9,490235E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,286194;9,485318E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,286694;9,492232E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,287194;9,492858E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,287694;9,489341E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,288194;9,489669E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,288694;9,497746E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,289194;9,487076E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,289694;9,495600E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,290194;9,485944E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,290694;9,484930E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,291194;9,491904E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,291694;9,480102E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,292194;9,480102E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,292694;9,487553E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,293194;9,485646E-4;1,081222E+2;1,087185E+2
20/12/2021  12:31:16,293694;9,485377E-4;1,081222E+2;1,087185E+2
