peso [g]		media [V]		std_dev [V]
0.0	0.0009386864511684414	7.621251628261809e-08	
1.6	0.0009389916123374186	8.151866923305766e-08	
10.1	0.000940766114152076	4.853498024821983e-07	
23.9	0.0009432860910055027	7.291500582230232e-08	
33.2	0.0009450713877688844	7.085837856608283e-08	
58.6	0.0009503813948724362	1.225275969912734e-06	
88.7	0.0009557249343771886	6.604856444056851e-08	
134.8	0.0009646027963531766	6.964066377392014e-08	
240.1	0.00098486347028014	7.63877348754617e-08	
374.6	0.0010107619902951475	7.635745834930732e-08	
509.6	0.0010367290947473737	7.625168903198036e-08	
644.5	0.0010626523177088543	7.137370980374235e-08	
749.5	0.0010826751423711855	6.509395732934233e-07	
850.6	0.0011023375305152577	6.315330164407042e-08	
954.5	0.0011224610903451727	2.8550885190497004e-07	
1040.2	0.0011388689816908455	6.189468109971102e-08	
1174.9	0.0011644510626813407	1.955170809853067e-06	
1309.9	0.0011787743387593798	3.790295622221144e-05	
1414.9	0.0012085136990795397	7.731883973270545e-06	
1497.2	0.0012244363974637318	7.566309671132298e-06	
